restId,itemName,price,calories,photo,createdAt,lastUpdated
27,Wine - Cotes Du Rhone Parallele,472.55,1208,http://dummyimage.com/219x100.png/dddddd/000000,2014-09-24 00:39:17,2022-01-08 14:34:50
7,"Red Snapper - Fresh, Whole",661.63,1565,http://dummyimage.com/154x100.png/ff4444/ffffff,2016-07-29 23:31:23,2023-10-09 22:18:41
26,Salt - Kosher,917.52,275,http://dummyimage.com/110x100.png/ff4444/ffffff,2018-05-08 04:27:18,2024-03-16 17:27:22
40,Wine - Barbera Alba Doc 2001,627.16,881,http://dummyimage.com/141x100.png/dddddd/000000,2016-02-29 20:29:33,2021-03-30 11:50:15
14,Heavy Duty Dust Pan,408.19,1113,http://dummyimage.com/178x100.png/ff4444/ffffff,2014-01-18 17:09:43,2022-04-22 03:30:56
4,Red Currant Jelly,188.72,1293,http://dummyimage.com/109x100.png/ff4444/ffffff,2017-04-20 06:27:01,2024-05-13 19:26:20
34,Goat - Leg,150.6,1441,http://dummyimage.com/211x100.png/dddddd/000000,2016-12-20 18:26:38,2022-09-13 22:55:25
13,Lettuce - Frisee,878.58,757,http://dummyimage.com/200x100.png/5fa2dd/ffffff,2018-08-01 18:14:55,2022-09-27 23:06:20
12,Tomato - Tricolor Cherry,202.77,147,http://dummyimage.com/228x100.png/dddddd/000000,2019-07-19 22:52:47,2022-06-08 09:37:51
18,Zucchini - Yellow,696.34,801,http://dummyimage.com/221x100.png/dddddd/000000,2017-07-31 01:59:14,2022-04-04 13:12:48
20,Pastry - Apple Muffins - Mini,656.7,100,http://dummyimage.com/174x100.png/5fa2dd/ffffff,2017-06-19 06:50:17,2023-04-21 04:14:44
38,Lumpfish Black,262.91,720,http://dummyimage.com/214x100.png/cc0000/ffffff,2016-05-25 02:15:26,2023-06-14 20:03:48
24,"Nut - Almond, Blanched, Whole",783.35,79,http://dummyimage.com/167x100.png/cc0000/ffffff,2016-03-27 10:00:05,2023-06-20 15:45:04
2,Food Colouring - Pink,122.93,1988,http://dummyimage.com/153x100.png/dddddd/000000,2015-10-09 12:28:59,2021-07-27 19:30:33
28,Lobster - Cooked,257.65,204,http://dummyimage.com/214x100.png/cc0000/ffffff,2014-12-15 17:02:50,2022-03-06 09:46:17
35,Edible Flower - Mixed,784.49,1242,http://dummyimage.com/186x100.png/dddddd/000000,2017-05-08 15:59:15,2024-03-12 03:12:35
23,Blackberries,971.05,756,http://dummyimage.com/234x100.png/cc0000/ffffff,2019-01-30 17:14:12,2022-06-23 17:06:33
4,Sausage - Breakfast,285.11,995,http://dummyimage.com/201x100.png/ff4444/ffffff,2018-01-16 12:26:27,2022-08-15 02:30:42
11,Sugar - Fine,836.49,1876,http://dummyimage.com/161x100.png/5fa2dd/ffffff,2019-04-15 05:29:38,2021-03-28 00:49:30
21,Blueberries,775.57,1959,http://dummyimage.com/245x100.png/cc0000/ffffff,2016-07-28 11:57:31,2022-08-13 14:11:25
40,Milk - Buttermilk,67.12,64,http://dummyimage.com/142x100.png/5fa2dd/ffffff,2017-05-29 19:45:26,2023-09-28 05:30:09
14,Butcher Twine 4r,634.65,1853,http://dummyimage.com/151x100.png/5fa2dd/ffffff,2020-01-03 10:47:14,2022-05-24 20:11:38
35,Container Clear 8 Oz,592.67,593,http://dummyimage.com/119x100.png/ff4444/ffffff,2019-01-31 08:49:33,2021-03-03 04:07:14
29,Milkettes - 2%,173.8,1919,http://dummyimage.com/244x100.png/ff4444/ffffff,2018-09-27 10:25:34,2021-11-08 23:05:00
33,Thermometer Digital,644.07,1995,http://dummyimage.com/131x100.png/cc0000/ffffff,2016-12-04 09:54:07,2023-03-27 05:01:29
17,Roe - Flying Fish,272.77,771,http://dummyimage.com/208x100.png/ff4444/ffffff,2017-09-18 12:31:23,2021-09-09 14:03:18
1,"Basil - Dry, Rubbed",913.24,1343,http://dummyimage.com/185x100.png/5fa2dd/ffffff,2017-06-28 14:27:12,2023-04-29 06:49:24
15,Ice Cream - Fudge Bars,960.2,1368,http://dummyimage.com/132x100.png/5fa2dd/ffffff,2018-05-05 00:30:38,2022-09-26 13:03:12
27,Sugar Thermometer,591.32,1735,http://dummyimage.com/147x100.png/dddddd/000000,2015-09-27 14:31:41,2023-11-23 00:27:25
12,Tahini Paste,481.43,416,http://dummyimage.com/136x100.png/5fa2dd/ffffff,2015-05-12 13:39:17,2023-10-26 23:21:44
6,Chips - Assorted,649.32,1409,http://dummyimage.com/210x100.png/ff4444/ffffff,2018-03-18 12:35:05,2024-04-04 12:07:25
34,Bay Leaf Ground,398.65,1212,http://dummyimage.com/172x100.png/dddddd/000000,2018-08-14 18:47:42,2024-02-03 22:16:21
30,Food Colouring - Orange,969.75,521,http://dummyimage.com/126x100.png/dddddd/000000,2019-01-04 05:49:05,2023-01-16 20:39:18
8,Beer - Fruli,412.81,160,http://dummyimage.com/176x100.png/ff4444/ffffff,2014-10-01 10:04:14,2023-01-07 16:34:02
22,Squeeze Bottle,584.48,1960,http://dummyimage.com/187x100.png/5fa2dd/ffffff,2017-07-18 23:14:24,2023-11-23 16:49:57
5,Taro Leaves,32.81,353,http://dummyimage.com/108x100.png/ff4444/ffffff,2020-04-10 04:30:12,2022-05-31 09:43:37
36,Water - Evian 355 Ml,803.7,1880,http://dummyimage.com/135x100.png/ff4444/ffffff,2018-02-21 08:19:18,2022-07-28 20:06:13
16,Cheese - Parmigiano Reggiano,457.09,244,http://dummyimage.com/189x100.png/5fa2dd/ffffff,2020-02-24 07:09:55,2022-02-20 22:11:06
32,"Wine - Magnotta - Red, Baco",974.33,530,http://dummyimage.com/146x100.png/dddddd/000000,2016-11-27 22:03:58,2021-12-06 22:26:11
19,Tomatoes - Hot House,134.71,1603,http://dummyimage.com/124x100.png/dddddd/000000,2016-06-06 11:56:00,2022-07-24 13:56:22
23,Rice - Long Grain,770.52,729,http://dummyimage.com/104x100.png/dddddd/000000,2014-07-05 21:19:05,2024-04-24 03:43:57
24,Pork - Suckling Pig,862.33,842,http://dummyimage.com/152x100.png/ff4444/ffffff,2019-07-04 10:38:25,2021-03-30 15:46:11
28,Fennel - Seeds,834.71,143,http://dummyimage.com/176x100.png/cc0000/ffffff,2020-10-22 02:53:50,2023-03-24 14:41:07
9,Pork - Ham Hocks - Smoked,357.1,928,http://dummyimage.com/184x100.png/dddddd/000000,2016-11-29 10:14:32,2022-10-05 21:34:38
20,Anchovy In Oil,202.1,959,http://dummyimage.com/221x100.png/5fa2dd/ffffff,2017-07-19 19:49:14,2024-07-22 13:14:41
2,Octopus,825.58,1736,http://dummyimage.com/160x100.png/5fa2dd/ffffff,2016-11-03 14:53:48,2022-07-29 16:44:08
7,Mini - Vol Au Vents,936.97,1112,http://dummyimage.com/154x100.png/cc0000/ffffff,2014-06-23 21:20:59,2022-04-11 20:54:18
13,Wine - Black Tower Qr,577.78,782,http://dummyimage.com/106x100.png/dddddd/000000,2015-02-15 18:18:46,2022-07-25 21:26:14
8,Cream Of Tartar,804.04,726,http://dummyimage.com/116x100.png/5fa2dd/ffffff,2018-09-19 21:00:10,2022-06-06 23:06:52
21,Cherries - Frozen,703.54,1404,http://dummyimage.com/222x100.png/dddddd/000000,2017-04-18 08:22:40,2023-01-12 10:14:37
32,Capon - Whole,948.76,1957,http://dummyimage.com/164x100.png/5fa2dd/ffffff,2015-06-18 13:18:52,2021-08-02 21:42:22
7,Pernod,357.26,15,http://dummyimage.com/231x100.png/5fa2dd/ffffff,2016-06-02 01:41:00,2021-04-28 22:50:22
28,Wine - Fino Tio Pepe Gonzalez,57.21,1792,http://dummyimage.com/188x100.png/cc0000/ffffff,2020-01-16 04:59:06,2024-05-09 13:55:21
26,"Pork - Loin, Boneless",638.99,1460,http://dummyimage.com/248x100.png/ff4444/ffffff,2017-11-12 17:46:12,2022-04-20 23:14:24
3,Molasses - Fancy,22.72,1699,http://dummyimage.com/233x100.png/cc0000/ffffff,2015-06-25 03:21:46,2023-12-24 16:26:48
9,"Cheese - Romano, Grated",210.81,362,http://dummyimage.com/160x100.png/dddddd/000000,2017-06-12 07:26:54,2021-10-14 17:46:43
34,"Nut - Pine Nuts, Whole",625.78,613,http://dummyimage.com/189x100.png/5fa2dd/ffffff,2015-11-18 02:42:57,2023-10-08 04:18:39
18,Pastry - Apple Muffins - Mini,660.05,1026,http://dummyimage.com/108x100.png/dddddd/000000,2014-02-09 18:30:39,2022-12-14 18:10:15
17,Crab Brie In Phyllo,144.19,12,http://dummyimage.com/213x100.png/cc0000/ffffff,2018-08-02 03:05:36,2021-11-19 08:41:14
27,Pork - Smoked Kassler,167.76,238,http://dummyimage.com/122x100.png/5fa2dd/ffffff,2017-08-03 18:25:26,2022-05-12 04:36:56
1,Alize Gold Passion,269.83,1300,http://dummyimage.com/195x100.png/dddddd/000000,2015-12-04 20:03:35,2023-01-27 15:42:39
35,Banana Turning,383.76,365,http://dummyimage.com/164x100.png/ff4444/ffffff,2018-06-11 11:37:56,2021-06-08 13:19:38
10,Beer - Sleemans Cream Ale,867.66,528,http://dummyimage.com/145x100.png/5fa2dd/ffffff,2015-06-01 07:58:09,2021-08-22 18:48:14
2,Sambuca Cream,855.82,888,http://dummyimage.com/242x100.png/dddddd/000000,2020-03-10 15:26:44,2022-06-23 11:41:35
16,"Beef - Rib Roast, Cap On",204.24,47,http://dummyimage.com/191x100.png/ff4444/ffffff,2020-08-27 12:14:23,2023-09-23 19:30:52
24,Salmon - Sockeye Raw,506.49,888,http://dummyimage.com/201x100.png/5fa2dd/ffffff,2020-02-19 00:21:24,2022-10-26 11:54:53
11,Squash - Butternut,514.56,456,http://dummyimage.com/207x100.png/ff4444/ffffff,2016-03-08 18:15:02,2023-07-19 04:43:21
30,Wine - Shiraz Wolf Blass Premium,490.1,551,http://dummyimage.com/234x100.png/ff4444/ffffff,2020-07-29 01:36:17,2022-10-25 09:53:59
39,Beer - Fruli,428.87,891,http://dummyimage.com/141x100.png/ff4444/ffffff,2019-04-04 18:37:44,2022-07-06 05:16:31
37,Potatoes - Fingerling 4 Oz,876.01,901,http://dummyimage.com/159x100.png/cc0000/ffffff,2016-08-02 07:29:40,2022-03-11 21:50:46
12,"Wine - Red, Cabernet Sauvignon",758.67,1840,http://dummyimage.com/197x100.png/cc0000/ffffff,2019-05-15 20:16:33,2022-11-12 05:38:46
31,Soup - Campbells Mac N Cheese,493.53,1997,http://dummyimage.com/145x100.png/cc0000/ffffff,2020-10-08 12:32:04,2023-11-04 20:54:39
20,Barramundi,67.92,1184,http://dummyimage.com/117x100.png/cc0000/ffffff,2017-06-13 03:39:23,2022-02-05 20:39:43
13,Wine - Chardonnay Mondavi,147.37,71,http://dummyimage.com/108x100.png/cc0000/ffffff,2020-11-08 21:05:39,2021-10-12 15:17:18
4,"Veal - Brisket, Provimi, Bone - In",291.42,208,http://dummyimage.com/164x100.png/cc0000/ffffff,2014-05-07 02:04:45,2023-10-29 16:57:06
14,Kellogs Cereal In A Cup,549.81,1718,http://dummyimage.com/153x100.png/5fa2dd/ffffff,2019-05-17 05:46:01,2022-09-25 22:24:13
22,Sauce - Oyster,128.37,1935,http://dummyimage.com/147x100.png/5fa2dd/ffffff,2015-09-19 16:41:41,2023-10-22 20:14:14
29,Cabbage Roll,861.33,968,http://dummyimage.com/217x100.png/dddddd/000000,2016-12-03 13:24:02,2022-05-28 22:42:45
38,"Juice - Pineapple, 341 Ml",933.58,1277,http://dummyimage.com/197x100.png/ff4444/ffffff,2020-01-16 12:13:58,2021-05-16 06:39:18
36,Olives - Nicoise,250.96,31,http://dummyimage.com/205x100.png/5fa2dd/ffffff,2017-06-27 10:38:26,2024-07-04 01:07:57
29,"Pepper - White, Whole",320.83,61,http://dummyimage.com/150x100.png/cc0000/ffffff,2017-10-28 23:39:58,2021-09-05 05:30:28
13,Cranberries - Frozen,924.08,1753,http://dummyimage.com/234x100.png/5fa2dd/ffffff,2018-03-21 23:46:11,2022-02-15 09:37:42
27,"Syrup - Monin, Swiss Choclate",153.91,1175,http://dummyimage.com/163x100.png/5fa2dd/ffffff,2018-05-09 16:17:10,2021-08-31 05:17:13
14,Grenadillo,57.47,875,http://dummyimage.com/206x100.png/ff4444/ffffff,2017-06-04 10:33:47,2023-03-23 20:53:26
20,"Bread - Roll, Soft White Round",154.06,1389,http://dummyimage.com/211x100.png/ff4444/ffffff,2019-10-08 23:21:39,2021-12-07 21:46:35
24,Jolt Cola - Red Eye,18.16,168,http://dummyimage.com/129x100.png/ff4444/ffffff,2018-08-12 03:35:50,2023-08-24 14:52:02
2,Ecolab - Medallion,301.23,483,http://dummyimage.com/195x100.png/ff4444/ffffff,2016-05-27 04:01:04,2023-11-14 04:27:12
40,Table Cloth 90x90 White,324.77,646,http://dummyimage.com/229x100.png/5fa2dd/ffffff,2018-09-16 21:37:51,2024-03-31 21:11:18
10,Vinegar - Rice,552.16,666,http://dummyimage.com/110x100.png/dddddd/000000,2016-05-17 06:02:35,2022-07-12 04:37:24
19,"Pepsi, 355 Ml",880.47,1364,http://dummyimage.com/242x100.png/ff4444/ffffff,2016-05-19 02:04:25,2024-01-18 05:10:14
21,Water - Evian 355 Ml,390.51,1660,http://dummyimage.com/243x100.png/dddddd/000000,2019-12-01 21:34:22,2021-10-30 00:57:58
18,"Stock - Veal, White",667.3,815,http://dummyimage.com/212x100.png/dddddd/000000,2017-10-05 02:41:30,2023-11-28 19:31:54
38,Salmon Atl.whole 8 - 10 Lb,363.79,1627,http://dummyimage.com/111x100.png/5fa2dd/ffffff,2014-08-28 06:13:17,2022-11-28 02:53:17
6,Bread Roll Foccacia,184.94,1852,http://dummyimage.com/166x100.png/ff4444/ffffff,2014-01-19 01:52:45,2023-12-06 17:11:59
23,Chervil - Fresh,603.28,213,http://dummyimage.com/181x100.png/ff4444/ffffff,2016-07-15 21:02:30,2021-05-16 09:04:52
37,"Soup - Knorr, Ministrone",576.36,1055,http://dummyimage.com/175x100.png/5fa2dd/ffffff,2016-03-20 04:54:38,2023-09-22 15:02:47
5,Chocolate - Liqueur Cups With Foil,584.38,1183,http://dummyimage.com/108x100.png/5fa2dd/ffffff,2014-02-25 00:03:17,2021-01-17 00:59:08
4,"Lemonade - Natural, 591 Ml",110.13,1505,http://dummyimage.com/132x100.png/ff4444/ffffff,2018-04-21 14:45:10,2021-06-18 09:25:10
1,Rice - Wild,477.95,1409,http://dummyimage.com/246x100.png/ff4444/ffffff,2015-09-26 01:50:43,2021-12-31 11:34:22
26,Duck - Legs,439.66,133,http://dummyimage.com/137x100.png/ff4444/ffffff,2020-08-30 13:59:53,2022-03-04 15:54:20
9,Wine - Remy Pannier Rose,674.36,1982,http://dummyimage.com/196x100.png/ff4444/ffffff,2020-05-13 22:44:52,2021-07-14 12:11:01
15,Crackers - Water,299.6,352,http://dummyimage.com/146x100.png/5fa2dd/ffffff,2016-08-23 10:11:09,2022-10-08 05:00:30
17,"Leeks - Baby, White",299.51,1912,http://dummyimage.com/233x100.png/cc0000/ffffff,2016-03-06 22:59:20,2023-09-23 20:55:58
12,Sugar Thermometer,695.62,1077,http://dummyimage.com/101x100.png/cc0000/ffffff,2018-10-28 14:53:13,2021-09-16 16:43:46
25,"Chestnuts - Whole,canned",738.15,1599,http://dummyimage.com/143x100.png/dddddd/000000,2017-07-18 20:24:13,2023-01-07 04:46:00
22,"Tendrils - Baby Pea, Organic",164.53,549,http://dummyimage.com/113x100.png/ff4444/ffffff,2014-10-29 08:55:49,2023-08-10 16:54:44
30,Melon - Honey Dew,982.75,1259,http://dummyimage.com/136x100.png/cc0000/ffffff,2019-12-09 01:15:04,2023-08-14 08:08:52
32,Cakes Assorted,779.69,1338,http://dummyimage.com/141x100.png/ff4444/ffffff,2018-03-17 16:33:49,2022-11-29 20:20:00
35,Lobster - Live,184.78,985,http://dummyimage.com/139x100.png/ff4444/ffffff,2018-06-02 09:04:29,2023-11-09 12:08:06
11,Wine - Kwv Chenin Blanc South,666.27,1540,http://dummyimage.com/104x100.png/dddddd/000000,2017-02-01 16:20:36,2021-11-27 10:18:57
35,Chicken - Soup Base,704.0,1234,http://dummyimage.com/138x100.png/cc0000/ffffff,2018-05-12 21:40:12,2023-02-18 23:11:31
20,Tomatoes,54.05,847,http://dummyimage.com/216x100.png/cc0000/ffffff,2017-04-15 02:28:44,2023-09-15 15:00:58
31,Ecolab - Power Fusion,482.06,1109,http://dummyimage.com/121x100.png/cc0000/ffffff,2016-03-01 14:13:52,2023-11-04 00:23:44
21,Sprouts - Pea,197.16,338,http://dummyimage.com/129x100.png/cc0000/ffffff,2014-03-06 17:08:40,2021-05-05 07:23:49
25,Wine - Fume Blanc Fetzer,434.89,612,http://dummyimage.com/203x100.png/5fa2dd/ffffff,2016-10-05 16:18:49,2023-08-14 18:17:50
27,Capon - Whole,611.67,753,http://dummyimage.com/238x100.png/5fa2dd/ffffff,2019-09-10 02:37:44,2023-07-25 13:52:13
3,"Juice - Apple, 341 Ml",724.21,818,http://dummyimage.com/128x100.png/ff4444/ffffff,2015-10-02 02:21:37,2023-09-29 11:27:54
40,"Pasta - Spaghetti, Dry",637.55,954,http://dummyimage.com/211x100.png/dddddd/000000,2015-07-19 01:15:23,2022-01-04 10:57:40
30,Beef - Top Butt,698.58,268,http://dummyimage.com/195x100.png/ff4444/ffffff,2017-10-14 16:47:00,2024-02-01 10:01:40
37,Longos - Greek Salad,227.01,1709,http://dummyimage.com/206x100.png/ff4444/ffffff,2018-12-31 23:07:58,2022-08-03 17:31:31
36,Pastry - Carrot Muffin - Mini,712.9,945,http://dummyimage.com/148x100.png/dddddd/000000,2018-01-16 21:57:02,2022-05-25 03:53:48
14,Garbage Bag - Clear,850.72,1155,http://dummyimage.com/245x100.png/dddddd/000000,2020-08-13 20:59:38,2024-07-30 13:52:48
39,Cheese - Gorgonzola,837.1,1130,http://dummyimage.com/170x100.png/dddddd/000000,2018-10-23 15:29:01,2023-04-23 08:49:17
6,"Soup - Knorr, Chicken Gumbo",853.01,646,http://dummyimage.com/134x100.png/dddddd/000000,2018-06-13 17:45:20,2021-12-12 23:49:06
23,Peas Snow,973.6,354,http://dummyimage.com/223x100.png/cc0000/ffffff,2019-02-07 18:50:14,2023-07-15 01:47:08
2,Chocolate - Mi - Amere Semi,94.09,865,http://dummyimage.com/161x100.png/5fa2dd/ffffff,2016-11-20 05:55:14,2024-02-14 12:09:32
17,Yeast Dry - Fermipan,315.78,384,http://dummyimage.com/183x100.png/5fa2dd/ffffff,2016-03-16 11:28:50,2021-07-15 04:25:49
10,Wine - Montecillo Rioja Crianza,617.23,1713,http://dummyimage.com/196x100.png/dddddd/000000,2019-08-28 17:11:48,2023-12-23 11:56:04
15,"Soup - Campbells, Minestrone",810.78,557,http://dummyimage.com/161x100.png/5fa2dd/ffffff,2016-11-29 01:28:53,2024-02-16 12:54:53
38,Asparagus - Frozen,752.36,1096,http://dummyimage.com/244x100.png/ff4444/ffffff,2016-06-15 15:11:49,2022-11-05 20:37:25
8,Pumpkin - Seed,637.58,79,http://dummyimage.com/233x100.png/5fa2dd/ffffff,2016-03-24 11:51:26,2023-10-20 10:03:02
18,Coffee Guatemala Dark,276.46,1646,http://dummyimage.com/249x100.png/5fa2dd/ffffff,2015-01-21 13:52:17,2021-06-07 23:52:30
9,"Pepper - Black, Ground",893.88,953,http://dummyimage.com/197x100.png/dddddd/000000,2017-11-29 06:17:40,2023-05-06 15:40:25
11,"Brownies - Two Bite, Chocolate",701.44,1787,http://dummyimage.com/136x100.png/cc0000/ffffff,2015-10-05 16:54:41,2024-01-08 04:37:23
22,Rabbit - Frozen,909.19,1459,http://dummyimage.com/205x100.png/dddddd/000000,2017-02-24 11:01:13,2023-02-16 22:39:49
13,Cleaner - Pine Sol,965.5,724,http://dummyimage.com/242x100.png/dddddd/000000,2017-12-14 11:45:06,2023-10-01 19:28:42
16,"Chicken - White Meat, No Tender",175.29,1191,http://dummyimage.com/184x100.png/ff4444/ffffff,2015-10-06 07:18:53,2021-11-01 17:49:05
7,Sorrel - Fresh,623.38,1223,http://dummyimage.com/186x100.png/cc0000/ffffff,2017-03-29 11:15:03,2022-05-17 15:20:22
34,Bacardi Limon,130.53,954,http://dummyimage.com/229x100.png/5fa2dd/ffffff,2014-08-14 14:56:01,2023-01-17 11:43:10
26,Plasticspoonblack,779.31,1616,http://dummyimage.com/126x100.png/ff4444/ffffff,2017-10-02 16:18:47,2024-03-19 12:22:42
29,Sugar - Individual Portions,61.91,1359,http://dummyimage.com/149x100.png/cc0000/ffffff,2020-10-18 13:25:26,2023-02-03 06:44:31
20,Wine - Chablis 2003 Champs,710.22,1680,http://dummyimage.com/198x100.png/cc0000/ffffff,2017-11-28 07:22:56,2023-02-23 03:39:30
7,Sprouts - Bean,538.75,1392,http://dummyimage.com/169x100.png/ff4444/ffffff,2016-09-11 02:08:18,2024-08-05 05:12:59
9,Longos - Chicken Caeser Salad,908.02,1892,http://dummyimage.com/176x100.png/ff4444/ffffff,2014-11-03 18:00:04,2021-05-27 14:47:02
18,Limes,500.63,1918,http://dummyimage.com/135x100.png/cc0000/ffffff,2018-09-07 10:20:07,2023-10-17 13:59:52
14,"Veal - Insides, Grains",653.4,800,http://dummyimage.com/227x100.png/cc0000/ffffff,2014-10-09 15:39:15,2021-07-14 04:42:57
5,"Orange - Canned, Mandarin",800.99,568,http://dummyimage.com/131x100.png/ff4444/ffffff,2015-02-02 13:23:24,2023-10-09 20:53:04
24,"Vermouth - White, Cinzano",171.08,1680,http://dummyimage.com/199x100.png/5fa2dd/ffffff,2018-12-29 03:30:07,2021-07-10 10:49:58
28,"Tabasco Sauce, 2 Oz",758.07,1193,http://dummyimage.com/235x100.png/cc0000/ffffff,2017-04-21 13:37:04,2022-10-17 17:51:46
37,Sponge Cake Mix - Chocolate,69.73,1676,http://dummyimage.com/113x100.png/dddddd/000000,2020-08-12 19:07:39,2021-04-14 12:33:05
27,Parasol Pick Stir Stick,754.73,1656,http://dummyimage.com/196x100.png/5fa2dd/ffffff,2015-12-09 22:26:21,2022-01-19 10:38:44
40,Flour - All Purpose,38.5,352,http://dummyimage.com/144x100.png/ff4444/ffffff,2016-08-29 16:27:11,2022-11-11 05:51:04
13,Pork - Ground,355.07,1392,http://dummyimage.com/245x100.png/ff4444/ffffff,2015-12-31 07:27:06,2022-10-05 05:39:19
8,Grapefruit - White,624.29,546,http://dummyimage.com/221x100.png/dddddd/000000,2020-05-12 16:29:04,2024-04-27 20:56:02
17,Vinegar - Sherry,929.45,341,http://dummyimage.com/140x100.png/5fa2dd/ffffff,2019-04-03 16:08:50,2022-05-29 11:45:12
35,"Veal - Brisket, Provimi,bnls",266.68,1637,http://dummyimage.com/166x100.png/5fa2dd/ffffff,2014-05-01 06:30:50,2021-08-26 03:14:57
25,"Roe - Lump Fish, Black",967.22,1264,http://dummyimage.com/188x100.png/cc0000/ffffff,2018-05-14 16:02:32,2022-04-28 07:48:15
12,Emulsifier,247.22,1697,http://dummyimage.com/180x100.png/cc0000/ffffff,2014-04-20 00:04:07,2021-08-02 18:30:29
36,"Pork - Back, Short Cut, Boneless",586.4,1251,http://dummyimage.com/116x100.png/ff4444/ffffff,2015-06-08 06:31:08,2021-10-28 00:28:19
15,Grand Marnier,238.52,1746,http://dummyimage.com/129x100.png/dddddd/000000,2020-11-12 06:15:16,2024-02-17 21:25:14
3,Oil - Canola,142.74,677,http://dummyimage.com/118x100.png/5fa2dd/ffffff,2017-02-09 05:35:39,2024-01-30 11:24:27
2,Pepper - Chilli Seeds Mild,590.28,1060,http://dummyimage.com/160x100.png/5fa2dd/ffffff,2020-05-30 20:59:05,2021-03-23 18:31:23
33,Napkin White,954.38,1235,http://dummyimage.com/128x100.png/5fa2dd/ffffff,2016-07-19 12:21:15,2022-01-23 02:47:40
39,"Soup - French Onion, Dry",992.04,1956,http://dummyimage.com/180x100.png/dddddd/000000,2014-11-26 11:28:48,2021-07-03 23:22:47
32,Cheese - Swiss Sliced,700.66,1071,http://dummyimage.com/217x100.png/5fa2dd/ffffff,2014-01-26 22:36:06,2022-06-30 09:55:35
19,Spice - Chili Powder Mexican,345.53,947,http://dummyimage.com/150x100.png/dddddd/000000,2018-08-03 01:48:12,2024-05-10 20:50:42
31,"Bread - Crumbs, Bulk",860.75,445,http://dummyimage.com/168x100.png/5fa2dd/ffffff,2019-03-30 07:41:39,2021-05-06 18:59:17
30,Squash - Pepper,152.44,1236,http://dummyimage.com/219x100.png/ff4444/ffffff,2017-04-19 15:34:40,2021-08-25 07:15:29
16,"Placemat - Scallop, White",468.47,161,http://dummyimage.com/234x100.png/5fa2dd/ffffff,2015-05-07 20:36:33,2021-09-11 10:54:22
29,Veal - Inside,571.5,842,http://dummyimage.com/107x100.png/cc0000/ffffff,2017-05-28 07:37:17,2023-05-14 10:14:18
26,"Garlic - Primerba, Paste",283.2,926,http://dummyimage.com/139x100.png/5fa2dd/ffffff,2019-10-03 09:28:09,2021-11-15 08:52:54
23,Sultanas,330.03,604,http://dummyimage.com/245x100.png/dddddd/000000,2014-09-02 09:31:17,2024-04-21 13:33:57
40,"Pail - 4l White, With Handle",403.06,504,http://dummyimage.com/197x100.png/cc0000/ffffff,2017-09-07 01:06:03,2023-08-30 09:07:18
19,"Arctic Char - Fresh, Whole",809.02,1837,http://dummyimage.com/187x100.png/cc0000/ffffff,2014-06-29 21:34:45,2021-08-28 20:15:01
33,Oil - Safflower,948.65,597,http://dummyimage.com/165x100.png/5fa2dd/ffffff,2020-06-21 01:42:03,2024-07-23 17:03:43
30,Sorrel - Fresh,143.25,1213,http://dummyimage.com/182x100.png/ff4444/ffffff,2016-02-10 03:22:07,2024-05-06 10:33:27
