reviewId,rating,text,authorId,restId,photo,timePosted,updatedAt
11,2.1,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",17,24,http://dummyimage.com/202x139.png/cc0000/ffffff,2016-09-20 17:24:56,2023-08-14 02:58:52
12,3.8,,23,19,http://dummyimage.com/178x194.png/5fa2dd/ffffff,2017-12-19 08:30:21,2024-04-06 22:00:53
13,1.1,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",36,21,http://dummyimage.com/225x199.png/5fa2dd/ffffff,2015-12-22 03:13:44,2023-01-28 13:42:07
14,3.3,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,32,18,http://dummyimage.com/186x198.png/5fa2dd/ffffff,2016-01-05 20:16:42,2024-03-17 10:20:51
15,1.9,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",20,32,http://dummyimage.com/123x159.png/dddddd/000000,2017-01-09 19:45:32,2024-07-25 00:06:15
16,3.2,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",27,14,http://dummyimage.com/133x188.png/dddddd/000000,2014-08-16 23:27:51,2022-09-07 07:52:48
17,2.8,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",15,20,http://dummyimage.com/118x216.png/cc0000/ffffff,2019-06-27 18:01:57,2023-10-02 20:53:18
18,1.1,,15,39,,2020-07-15 22:42:24,2022-02-13 17:18:05
19,4.1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",3,22,http://dummyimage.com/250x108.png/cc0000/ffffff,2014-08-25 16:59:17,2021-04-06 02:22:43
20,3.3,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",34,2,http://dummyimage.com/158x161.png/5fa2dd/ffffff,2016-05-03 16:08:24,2023-11-18 17:57:32
21,2.3,,27,8,http://dummyimage.com/233x146.png/ff4444/ffffff,2019-07-22 15:14:56,2021-08-07 05:30:02
22,1.0,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",36,8,http://dummyimage.com/120x228.png/5fa2dd/ffffff,2017-01-20 19:14:06,2023-11-16 15:00:43
23,4.5,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",22,2,http://dummyimage.com/158x195.png/5fa2dd/ffffff,2017-06-25 10:25:00,2024-07-07 04:51:58
24,2.2,,16,6,http://dummyimage.com/100x140.png/ff4444/ffffff,2015-08-18 22:57:12,2022-07-05 18:26:19
25,0.8,,26,2,http://dummyimage.com/124x212.png/dddddd/000000,2020-07-23 12:56:07,2023-08-29 06:00:23
26,4.0,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",27,21,http://dummyimage.com/223x213.png/cc0000/ffffff,2017-03-30 22:25:36,2021-02-01 16:03:28
27,3.4,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",10,40,http://dummyimage.com/181x140.png/ff4444/ffffff,2020-02-14 13:09:27,2021-07-24 10:15:00
28,3.2,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",8,13,,2020-01-28 05:35:25,2021-05-25 08:19:03
29,3.3,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",8,21,http://dummyimage.com/244x183.png/cc0000/ffffff,2018-02-27 08:44:34,2022-08-25 00:25:40
30,0.5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",14,38,http://dummyimage.com/160x153.png/5fa2dd/ffffff,2018-09-09 01:29:14,2023-10-04 15:47:39
31,2.9,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",11,39,http://dummyimage.com/233x200.png/cc0000/ffffff,2019-09-24 10:23:03,2021-07-17 17:33:03
32,3.0,,16,11,http://dummyimage.com/104x213.png/dddddd/000000,2016-06-05 12:30:50,2021-09-02 06:36:24
33,4.8,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",5,39,http://dummyimage.com/242x200.png/dddddd/000000,2020-10-08 05:53:57,2022-09-05 09:53:53
34,0.5,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",23,16,http://dummyimage.com/233x109.png/dddddd/000000,2018-10-02 02:32:29,2023-06-17 06:02:22
35,1.7,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",26,13,http://dummyimage.com/126x197.png/ff4444/ffffff,2018-01-24 11:30:44,2021-03-29 05:23:11
36,1.9,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",22,24,http://dummyimage.com/147x154.png/dddddd/000000,2014-11-05 19:54:54,2022-04-30 22:38:43
37,3.4,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",27,20,http://dummyimage.com/117x168.png/5fa2dd/ffffff,2020-01-18 00:36:52,2022-06-18 06:35:23
38,4.7,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",31,30,,2018-09-01 02:12:42,2023-08-08 15:07:35
39,4.2,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",20,14,http://dummyimage.com/119x183.png/5fa2dd/ffffff,2018-02-19 07:27:51,2023-03-07 23:03:53
40,1.6,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",33,3,http://dummyimage.com/226x162.png/dddddd/000000,2015-12-04 19:14:09,2022-06-10 02:57:35
